shanghai_city_7208	上海全季酒店淮海路店
faulkton_sd_4	Super 8 Aberdeen East
tokyo_3636	Tokyo Ueno New Izu Hotel
tokyo_2299	Sun Members Tokyo Shinjuku
hakodate_jp_20	Hotel Tetora
qinhuangdao_5409	北戴河甄馨旅馆
west_memphis_ar_231	Homegate Inn And Suites
yantai_3919	蓬莱市蓬强宾馆
london_england_6865	Albert Serviced Apartments
london_england_6864	Seven Apart
san_antonio_usa_148	华美达市区丽米特德酒店
tokyo_3048	Hotel Asakusa Mikawaya
tokyo_3001	Ryokan Katsutaro
tokyo_2304	Citadines Shinjuku Tokyo
yanbian_2001	延边延吉宾馆
tokyo_2298	Shinjuku New City Hotel
tokyo_2879	Four Seasons Hotel Tokyo at Marunouchi
rovinj_cro_38	Apartments Lipej
chengdu_843	成都交通宾馆
montvale_nj_262	帕克里奇万豪酒店
yantai_3903	烟台宏运旅社
himeji_jp_5	APA Hotel Himeji-Ekikita
chengdu_5370	成都凯斯顿黄龙大酒店
bangkok_3728	Best Western Plus Grand Howard（西佳霍华德大酒店）
tokyo_2243	Hearton Hotel Higashishinagawa
west_memphis_ar_232	Americas Best Value Inn West Memphis
tokyo_3662	Kimi Ryokan
glen_allen_va_66	TownePlace Suites Richmond
tokyo_2388	Tokyo Green Palace
montauk_ny_4	Sole East Resort
tokyo_3674	Nishitetsu Inn Shinjuku
fillmore_ut_2	Super 8 Richfield UT
fillmore_ut_4	Quality Inn Richfield
tokyo_3655	Hotel Unizo Asakusa
tokyo_3646	Hotel Unizo Kanda
tokyo_2256	Hotel JAL City Tamachi Tokyo
montvale_nj_263	希尔顿珍珠河酒店
tokyo_2485	Tokyo Prince Hotel
hurghada_8	Hilton Hurghada Long Beach Resort
tokyo_2783	The Prince Park Tower Tokyo
toronto_39	University of Toronto-New College Residence-Wilson Hall Residence
shenyang_3284	沈阳嘉豪短租公寓
chita_1	Arkadia
london_england_6830	WHITEHALL
london_england_6832	Executive Zone 2 London Apartment
london_england_6833	Bayswater Superior Apartments
hurghada_7	Sonesta Pharaoh Beach Resort Hurghada
tokyo_2351	Shinagawa Prince Hotel
montclair_nj_1	Ontario Inn & Suites
tokyo_2348	东京池袋太阳城王子酒店
yokohama_187	HUNDRED STAY Tokyo Shinjuku
beijing_city_18015	北京易旅宾馆
san_antonio_usa_150	Hilton San Antonio Airport
yanbian_2782	珲春博客宿屋
the_rocks_nsw_1430	The Australian Heritage Hotel‎
london_england_6846	Old Street Apartments
london_england_6845	Journeys Greenwich West Hostel
london_england_6848	Rosebery Avenue Rooms to Let
london_england_6854	The Pride of Paddington
tokyo_2547	Hotel Jal City Haneda Tokyo
tokyo_2400	Hotel Monterey Hanzomon
tokyo_3206	Hotel Monterey Akasaka
volos_gre_2	Domotel Xenia Volou
tokyo_3409	Vista Hotel Kamata
jinzhou_2001	锦州笔架山庄
tokyo_2224	BlueWave Inn Asakusa
fairview_pa_12	Quality Inn & Suites Conference Center
tokyo_3640	Flexstay Nippori Inn
tokyo_2847	Toshi Center Hotel
falling_waters_wv_1	Holiday Inn Express MARTINSBURG-NORTH
french_lick_in_1	West Baden Springs Hotel
tokyo_3637	Tokyu Stay Kamata
tokyo_3650	Khaosan Tokyo Smile
tokyo_3666	Khaosan Tokyo Samurai
beijing_city_14309	北京热公馆国际商务会馆
gardner_ks_7	Paola Inn and Suites
wenzhou_4622	温州晚溪小筑
tokyo_3615	Khaosan Tokyo Ninja
tokyo_3619	Khaosan Tokyo Kabuki
colton_ca_1	Holiday Inn Express Colton
paris_city_840	Citadines Apart'hotel Opéra Vendôme
mumbai_165	Hilton Mumbai International Airport
lijiang_3636	丽江牌坊阁客栈
faulkton_sd_2	Super 8 Aberdeen West
tokyo_2737	Laforet Hotel Tokyo
tokyo_2749	Lungwood Hotel Tokyo
tokyo_2692	Mandarin Oriental Tokyo
tokyo_3645	Flexstay Higashi-Ikebukuro Inn
beppu_jp_10	Hotel Nagisa
tokyo_3672	Flexstay Gotanda Inn
tokyo_2405	Hotel Avanshell Akasaka
tokyo_3617	Hotel Amista Ohi
cavriglia_ita_2688	Maison Savoia
rovinj_cro_53	Apartments and Rooms Robert
rovinj_cro_61	Old Town Apartments
mumbai_166	Hotel Suncity Residency
torquay_vic_27	Brooklands
fondi_ita_2	德尔肯堤酒店
tokyo_3418	Hotel Asia Center of Japan
tokyo_3671	Hotel Route-Inn Gotanda
tokyo_2227	Hotel Sunlite Shinjuku
tokyo_2769	Smile Hotel Tokyo Nihombashi
hamilton_on_2	Days Inn Hamilton
hamilton_on_3	Comfort Inn Hamilton
hamilton_on_4	Super8 Mt Hope Hamilton Intl Arpt ON
tokyo_3470	Smile Hotel Asakusa
yelverton_uk_44	The Parks (Guest Accommodation)
newcastle_united_kingdom_1174	Het Wapen van Delden Hotel
tokyo_3501	Smile Hotel Tokyo Asagaya
rovinj_cro_48	Villa Rossella 3
rovinj_cro_35	Apartments Marica
krumbach_ger_1	Hotel Falk
shanghai_city_9885	上海苗家山寨家庭旅馆
rovinj_cro_30	Apartments Bella
yichang_2214	宜昌新杰宾馆
west_columbia_tx_8	Hampton Inn & Suites Bay City
rovinj_cro_42	Apartments Villa Nikola
rovinj_cro_16	Apartments Cocaletto
torquay_uk_25	Ashurst Lodge
toronto_70	University of Toronto-New College Residence-45 Willcocks Residence
reykjavik_38	CenterHotel Plaza
reykjavik_39	Grand Hotel Reykjavik
volos_gre_1	Volos Palace
toronto_76	Canadas Best Value Inn
galena_park_tx_1	Extended Stay America - Houston - Greenway Plaza
chongqing_city_7171	彭水县紫藤大酒店
toronto_148	Carlingview Airport Inn
torquay_uk_18	The Beverley Hotel
toronto_516	Delta Chelsea Hotel
toronto_18	Novotel Toronto Centre
nelson_bay_1	Oaks Lure
san_antonio_usa_125	La Quinta Inn San Antonio AlamoDome South
san_antonio_usa_110	Rodeway Inn
san_antonio_usa_111	Hampton Inn Downtown
lijiang_2801	丽江百岁坊客栈
terrigal_16	Stamford Grand North Ryde
san_antonio_usa_117	Quality Inn San Antonio
toronto_63	Clarion Hotel and Suites Selby
toronto_98	Isabella Hotel & Suites
ziyang_35	资阳华亭商务酒店
yichang_2225	夷陵区农业局招待所
paris_city_2644	Art Hotel Batignolles
toronto_149	Best Western Executive Inn
lijiang_2874	丽江古城福临居客栈
yichang_2213	宜昌南粤宾馆
paris_city_2647	Delambre Montparnasse
zhengzhou_3484	郑州国贸春天快捷酒店
los_angeles_usa_291	Su Casa at Venice Beach
toronto_81	Bond Place Hotel
toronto_146	Travelodge Toronto East
toronto_142	Howard Johnson Toronto East
toronto_84	Econo Lodge Inn & Suites
saint_petersburg_10	Hilton Saint Petersburg Carillon Park
toronto_156	Thompson Toronto
toronto_47	Victoria's Mansion Guest House
toronto_152	Holiday Inn International Airport
yangzhou_2920	扬州美食街宾馆
yichang_2210	秭归县夔龙山庄
zhaotong_2099	盐津县津江宾馆
melbourne_australia_36	The Hotel Windsor
xinyang_2091	信阳帝泊森假日酒店
motta_camastra_1	Terralcantara La casa delle Monache
toronto_153	Hilton Garden Inn Toronto City Centre
santa_elena_gt_20	Hotel Casazul
nafplion_6	Amphitryon Hotel
nafplion_3	Nafplia Palace Hotel
nafplion_5	Dioscouri Hotel Nafplion
nafplion_4	Ilion
nafplion_1	Park Hotel Nafplion
toronto_151	Pimblett's Toronto Downtown Bed &Breakfast
shanghai_city_616	上海地铁教育培训中心(地铁宾馆)
new_york_city_1531	Capri Whitestone Hotel(无效)
jinan_2841	章丘市普集焦家招待所
toronto_143	Toronto Marriott Downtown Eaton Centre Hotel
toronto_158	Toronto Airport Marriott Hotel
sanya_5081	三亚海立方休闲度假公寓
yichang_2206	宜昌中油招待所
guilin_2977	阳朔九龙宾馆
guilin_2908	阳朔兰花酒店
lianyungang_2375	连云港晖翔短租公寓
taian_2924	泰安得亨商务宾馆
escanaba_mi_3	Super 8 Motel - Escanaba
newcastle_united_kingdom_1175	Stadshotel de Paris
nantong_2617	南通泰华大酒店
xianggelila_3203	迪庆新华酒店
linyi_2237	太子湖宾馆
melbourne_australia_51	Medina Grand Melbourne
yichang_2284	虹桥假日酒店
beijing_city_2459	北京720家庭旅馆
yichang_2209	宜昌石化宾馆
wenling_2058	迎宾假日酒店
ninghai_2000	世外游宾馆
yichang_2208	宜昌世纪苑宾馆
escanaba_mi_1	Comfort Suites Escanaba
manchester_usa_140	Britannia Hotel Wigan
tokyo_4020	Hotel Grand Fresa Akasaka
wulumuqi_2354	乌鲁木齐徽商大饭店
paris_city_64	ATN Hotel
manchester_usa_150	The Highlander Inn
dongguan_2575	东莞龙迈亚商务酒店
guilin_2510	阳朔印象商务宾馆
manchester_usa_155	曼彻斯特机场福朋喜来登酒店
manchester_usa_153	曼彻斯特雷迪森酒店
manchester_usa_154	Comfort Inn Airport
mexico_city_130	墨西哥城市区假日酒店
beijing_city_14347	北京潘家园家庭旅馆
taizhou_zhejiang_2292	台州市椒江振兴旅馆
nanning_2427	广西石化招待所
taiyuan_2524	山西宸苑宾馆
yantai_3086	金都酒店
san_diego_941	华美达有限圣迭戈机场酒店
wuyuan_82	庆源驿栈
qiandongnan_2153	天悦宾馆
dali_2017	大理洱海宾馆
linan_2130	奚氏山庄农家乐
manchester_usa_158	Hilton Garden Inn Manchester Downtown
shengsi_2004	嵊舟大酒店
jinjiang_2015	晋江金玛国际酒店
changsha_74	湖南日银大酒店
singapore_city_1200	Oxley
huaian_2164	淮安市体校招待所
chicago_1442	希尔顿莱尔内珀维尔希尔顿酒店
sanya_3748	蜈支洲岛度假屋
linyi_2306	明居宾馆
budapest_city_1865	BENCZUR3星级
toronto_154	The Rex Hotel
toronto_144	Sheraton Toronto Airport Hotel & Conference Centre
toronto_157	Centennial Residence and Conference Centre Toronto East
guangzhou_4760	广州黄埔丽星酒店
paris_city_877	Hotel Rive Gauche
chengdu_2877	成都豆豆的旅行小窝
dalian_4533	大连软件园黑石礁CITYONE国际公寓
beijing_city_3113	商务部培训中心
ningbo_2122	宁波新东方宾馆
washington_1731	Holiday Inn Manassas
wuxi_2102	无锡华锡宾馆
jincheng_2052	西巷东站招待所
toronto_147	Canada Suites on Bay
corpus_christi_tx_14	科珀斯克里斯蒂北帕德雷岛假日酒店
toronto_848	Park Hyatt Toronto Yorkville
toronto_1131	Howard Johnson Inn Toronto Scarborough
bayinguoleng_2224	若羌县国瑞商务宾馆
kernersville_nc_4	Sleep Inn Kernersville
montargis_1	Hotel Dorele
toronto_1149	Global ViIlage Backpackers Youth Hostel
kanab_2	Shilo Inn Suites - Kanab
linfen_2056	惠中堂宾馆
torquay_uk_66	Charnwood Guest House
torquay_vic_41	Exton House
nanning_2054	城市便捷酒店（南宁欧来科会议宾馆）
jiujiang_2486	庐山王阿姨家庭宾馆
toronto_850	The Hazelton Hotel
shakopee_224	Americas Best Value Inn & Suites-Shakopee-Minneapolis‎
toronto_1092	Hotel Le Germain Maple Leaf Square
torquay_vic_93	Westgate Hotel Silver Awarded
torquay_vic_82	Elmdene Hotel
torquay_vic_29	The Charterhouse
koh_phuket_tha_2088	麦克斯宾馆
concepcion_42	OTA TTS测试酒店
torquay_vic_18	The Trouville
koh_phuket_tha_2086	Maelarn Hotel（麦浪酒店）
torquay_uk_2	The Belmont Hotel Torquay
torquay_uk_10	Braddon Hall Hotel
torquay_uk_4	Brampton Court Hotel
beppu_jp_11	Hotel Koraku
torquay_uk_14	Glenorleigh
torquay_vic_24	Babbacombe Guest House
torquay_vic_42	Robin Hill International
torquay_vic_16	Elmington Hotel
torquay_vic_47	Kingston House
zhangjiajie_2922	张家界兄弟之家旅馆
wangerooge_ger_1	Upstalsboom Strandhotel
wuxi_3381	无锡短租公寓
sanya_5315	三亚乡缘家庭旅馆
wuhan_57	武汉锦派红桥酒店
torquay_vic_35	Cranmore
vysoke_tatry_sk_1	Atrium Hotel
torquay_uk_26	The Baytree Hotel Torquay
torquay_vic_36	Kelvin House
mason_wv_176	America's Inn - Mason
wuhan_11	武汉新东方帝豪酒店
berlin_337	Clipper City Home
xiantao_2046	鑫宇宾馆
xuchang_3	许昌宾馆
torquay_uk_70	Clifton Grove Hotel Torquay
torquay_uk_35	Bentley Lodge Guest House
torquay_uk_6	Mount Edgcombe Hotel - Guest house
salado_tx_1	Old Salado Springs
torquay_vic_23	The Sandpiper Guest House
torquay_vic_69	The Marstan - 5 Star Guesthouse
vienna_143	Grand Hotel Wien
torquay_vic_10	Buckingham Lodge
torquay_uk_29	Barcelo Torquay Imperial Hotel
torquay_vic_53	Haytor Hotel
torquay_vic_28	Meadfoot Bay
torquay_vic_64	Bancourt Hotel
torquay_vic_25	The Bahamas
torquay_vic_12	Albaston House Hotel
torquay_vic_54	Carlton Court 5 Star Gold Award 2012
torquay_vic_99	Torwood Gardens Hotel
torquay_uk_17	The Shirley Hotel Torquay
torquay_vic_78	Hotel Concorde
torquay_vic_11	Livermead House Hotel
torquay_vic_97	The Ravenswood Hotel
torquay_vic_90	Crimdon Dene
torquay_vic_57	Hotel Hudson
torquay_vic_13	Hotel Barton
torquay_vic_45	The Southbourne Villa
torquay_vic_58	Corbyn Head Hotel
torquay_vic_39	Cary Court - Guest House
torquay_vic_63	Torcroft Hotel
torquay_uk_13	The Brandize
torquay_vic_81	Hotel Iona
torquay_vic_67	The Frognel Hall Hotel
torquay_vic_48	Toorak Hotel
torquay_vic_56	Carlton Hotel And Spa
torquay_vic_65	Derwent Hotel
torquay_vic_50	Kingsholm
torquay_vic_20	Gainsboro Guest House
torquay_vic_79	Cavendish Hotel
torquay_vic_103	Westbank Guest HouseTorquay
torquay_uk_32	Allerdale Hotel
torquay_vic_37	Heathcliff House
torquay_vic_17	The Burlington Hotel
torquay_uk_3	Yardley Manor Hotel
torremolinos_esp_16	Hotel Puente Real Torremolinos
torremolinos_esp_75	Hostal Guadalupe
torremolinos_esp_62	Apartamentos Nucleo Cristal
torremolinos_esp_33	Hotel Adriano
torremolinos_esp_38	Blue Sea Gran Hotel Cervantes
torremolinos_esp_69	Hotel Parasol Garden
torremolinos_esp_34	Marina Sur Hotel
torremolinos_esp_13	Medina Azahara
torremolinos_esp_36	Hotel Tropicana
torremolinos_esp_76	Hotel Pez Espada
torremolinos_esp_11	Hotel Isabel Torremolinos
torremolinos_esp_70	La Luna Blanca
torremolinos_esp_65	Roc Flamingo
tours_13	Hôtel Du Manoir
zhoushan_2632	嵊泗海边人家（石柱村）
torremolinos_esp_6	Hotel Roc Lago Rojo
torremolinos_esp_51	Marconfort Griego Hotel
torremolinos_esp_57	Hotel Residencia Miami
torremolinos_esp_68	El Pozo
shenandoah_tx_5	Hampton Inn Houston I45 North
torremolinos_esp_24	Hotel Carmen Teresa
torremolinos_esp_8	Palm Beach
torremolinos_esp_39	Hotel Kristal
zhoushan_2573	普陀山农家普门雅苑
zhoushan_2637	舟山渔家客栈华康家园
malaga_264	Hotel Apartamentos Roc El Pinar
torremolinos_esp_72	El Molino De La Torre
torremolinos_esp_20	Apartamentos Carolina
torremolinos_esp_46	Apartamentos La Baranda
torremolinos_esp_22	Aparthotel Maeva Torremolinos
torremolinos_esp_25	Hotel Princesa Solar
torremolinos_esp_61	Hostal Guillot
torremolinos_esp_54	Torre de la Roca
torremolinos_esp_49	Hotel Sanz
torremolinos_esp_47	Hostal Beatriz
tossa_de_mar_spa_2	Hotel Don Juan Tossa
tossa_de_mar_spa_21	Hotel Rovira
tossa_de_mar_spa_17	Marina Tossa
tossa_de_mar_spa_31	Hotel Windsor
trento_ita_8	Hotel Everest
changzhou_24	如家快捷酒店(金坛店)
tossa_de_mar_spa_19	Hotel Mar Bella
